CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F996,F997,F998,F999,F1000,F1001,F2384,F323339,
24387,E01005264,Manchester 044C,Lower Super Output Areas and Data Zones,LSOADZ,617,192,194,159,69,3,1535,1341,
24388,E01005265,Manchester 044D,Lower Super Output Areas and Data Zones,LSOADZ,682,214,236,164,62,6,1684,1521,
24389,E01005266,Manchester 044E,Lower Super Output Areas and Data Zones,LSOADZ,835,229,278,233,89,6,1957,1389,
24390,E01005267,Manchester 046B,Lower Super Output Areas and Data Zones,LSOADZ,664,286,221,128,25,4,1551,970,
24391,E01005268,Manchester 046C,Lower Super Output Areas and Data Zones,LSOADZ,994,506,298,164,24,2,2018,2032,
24392,E01005269,Manchester 046D,Lower Super Output Areas and Data Zones,LSOADZ,617,273,205,111,27,1,1484,1910,
24393,E01005270,Manchester 035A,Lower Super Output Areas and Data Zones,LSOADZ,675,212,209,166,79,9,1747,1206,
24394,E01005271,Manchester 032C,Lower Super Output Areas and Data Zones,LSOADZ,694,304,265,86,34,5,2101,2002,
24395,E01005272,Manchester 035B,Lower Super Output Areas and Data Zones,LSOADZ,755,192,236,222,99,6,1802,1477,
24396,E01005273,Manchester 035C,Lower Super Output Areas and Data Zones,LSOADZ,553,266,182,77,25,3,1558,1197,
24397,E01005274,Manchester 038A,Lower Super Output Areas and Data Zones,LSOADZ,682,276,200,149,56,1,1766,1577,
24398,E01005275,Manchester 038B,Lower Super Output Areas and Data Zones,LSOADZ,818,443,266,87,19,3,1695,847,
24399,E01005276,Manchester 038C,Lower Super Output Areas and Data Zones,LSOADZ,643,365,207,48,20,3,1602,1034,
24400,E01005277,Manchester 038D,Lower Super Output Areas and Data Zones,LSOADZ,778,438,260,65,14,1,1729,3779,
24401,E01005278,Manchester 035D,Lower Super Output Areas and Data Zones,LSOADZ,541,176,214,111,39,1,1839,1322,
24402,E01005279,Manchester 035E,Lower Super Output Areas and Data Zones,LSOADZ,817,320,251,177,65,4,2036,1412,
